Win#   	MACD-8  	roll  	rolls since shift
09268  	ed3f7ced  	3980360941  	429497
09269  	ed460aa6  	3980790438  	429497
09270  	ed4c985f  	3981219935  	429497
09271  	ed532617  	3981649431  	429496
09272  	ed59b3d0  	3982078928  	429497
09273  	ed604189  	3982508425  	429497
09274  	ed66cf42  	3982937922  	429497
09275  	ed6d5cfa  	3983367418  	429496
09276  	ed73eab3  	3983796915  	429497
09277  	ed7a786c  	3984226412  	429497
09278  	ed810624  	3984655908  	429496
09279  	ed8793dd  	3985085405  	429497
09280  	ed8e2196  	3985514902  	429497
09281  	ed94af4f  	3985944399  	429497
09282  	ed9b3d07  	3986373895  	429496
09283  	eda1cac0  	3986803392  	429497
09284  	eda85879  	3987232889  	429497
09285  	edaee632  	3987662386  	429497
09286  	edb573ea  	3988091882  	429496
09287  	edbc01a3  	3988521379  	429497
09288  	edc28f5c  	3988950876  	429497
09289  	edc91d14  	3989380372  	429496
09290  	edcfaacd  	3989809869  	429497
09291  	edd63886  	3990239366  	429497
09292  	eddcc63f  	3990668863  	429497
09293  	ede353f7  	3991098359  	429496
09294  	ede9e1b0  	3991527856  	429497
09295  	edf06f69  	3991957353  	429497
09296  	edf6fd22  	3992386850  	429497
09297  	edfd8ada  	3992816346  	429496
09298  	ee041893  	3993245843  	429497
09299  	ee0aa64c  	3993675340  	429497
09300  	ee113404  	3994104836  	429496
09301  	ee17c1bd  	3994534333  	429497
09302  	ee1e4f76  	3994963830  	429497
09303  	ee24dd2f  	3995393327  	429497
09304  	ee2b6ae7  	3995822823  	429496
09305  	ee31f8a0  	3996252320  	429497
09306  	ee388659  	3996681817  	429497
09307  	ee3f1412  	3997111314  	429497
09308  	ee45a1ca  	3997540810  	429496
09309  	ee4c2f83  	3997970307  	429497
09310  	ee52bd3c  	3998399804  	429497
09311  	ee594af5  	3998829301  	429497
09312  	ee5fd8ad  	3999258797  	429496
09313  	ee666666  	3999688294  	429497
09314  	ee6cf41f  	4000117791  	429497
09315  	ee7381d7  	4000547287  	429496
09316  	ee7a0f90  	4000976784  	429497
09317  	ee809d49  	4001406281  	429497
09318  	ee872b02  	4001835778  	429497
09319  	ee8db8ba  	4002265274  	429496
09320  	ee944673  	4002694771  	429497
09321  	ee9ad42c  	4003124268  	429497
09322  	eea161e5  	4003553765  	429497
09323  	eea7ef9d  	4003983261  	429496
09324  	eeae7d56  	4004412758  	429497
09325  	eeb50b0f  	4004842255  	429497
09326  	eebb98c7  	4005271751  	429496
09327  	eec22680  	4005701248  	429497
09328  	eec8b439  	4006130745  	429497
09329  	eecf41f2  	4006560242  	429497
09330  	eed5cfaa  	4006989738  	429496
09331  	eedc5d63  	4007419235  	429497
09332  	eee2eb1c  	4007848732  	429497
